,Mobile_name,Color,Price,Rating,RAM,ROM,Camera,Battery,Processor,
10,realme 9i ,Prism Black,"Rs.10,999",4.5,4 GB RAM,64 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRXF8S1K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG9VGVYG2XHZGR.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
11,realme 9i ,Prism Blue,"Rs.10,999",4.5,4 GB RAM,64 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRJW5YNZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG9VGVKUM4XNRR.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
12,POCO C31 ,Royal Blue,"Rs.8,499",4.3,3 GB RAM,32 GB ROM,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG73E7ZBHHQ3RB.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
13,POCO M4 Pro 5G ,Cool Blue,"Rs.16,999",4.2,6 GB RAM,128 GB ROM,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,https://www.flipkart.com/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGBEU7GKRSHG5M.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
14,MOTOROLA e40 ,Pink Clay,"Rs.7,999",4.1,4 GB RAM,64 GB ROM,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,UNISOC T700 Processor,https://www.flipkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG2EMW2ZUR4BFG.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
15,REDMI 10 ,Midnight Black,"Rs.9,999",4.3,4 GB RAM,64 GB ROM,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGC9GYEBH3GZ4E.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
16,realme 9i ,Prism Black,"Rs.11,499",4.5,4 GB RAM,128 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGBMZH9X7PQZJZ.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
17,realme 9i ,Prism Blue,"Rs.13,499",4.5,6 GB RAM,128 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG9VGV2Q9PDXHN.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
18,realme 9i ,Prism Blue,"Rs.11,499",4.5,4 GB RAM,128 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBGBMZHMUHYWFAE&lid=LSTMOBGBMZHMUHYWFAE85XWU8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBGBMZHMUHYWFAE.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
19,realme 9i ,Prism Black,"Rs.13,499",4.5,6 GB RAM,128 GB ROM,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=603bbd8a-5df6-4cbd-8f88-9f0575c10098.MOBG9VGV65TK6YZG.SEARCH&ssid=5jyoely6hc0000001672652730632&qH=eb4af0bf07c16429
